ElementID	Dimension	Type Level 1	Type Level 2	Type Level 3	Type Level 4	Definition	Industry	Bildungsweg 1	Bildungsweg 2	Bildungsweg 3	Bildungsweg 4	Bildungsweg 5	Bildungsweg 6	Bildungsweg 7	Bildungsweg 8	Bildungsweg 9	Bildungsweg 10	Source	Connection SwissICT Model
2.2.5	Deskriptor	Fertigkeit	Soziale Fertigkeit	Kooperieren		Bei der Arbeit angenehm mit anderen umgehen und eine gutmütige, kooperative Arbeitsweise an den Tag legen.												https://www.onetonline.org/find/descriptor/result/1.C.3.a	
2.2.6	Deskriptor	Fertigkeit	Soziale Fertigkeit	Mitfühlen		Einfühlsam und verständnisvoll für die Bedürfnisse und Gefühle anderer sein (Empathie).												https://www.onetonline.org/find/descriptor/result/1.C.3.b	
2.3.1	Deskriptor	Fertigkeit	Psychomotorische Fertigkeit	Feinmotorik		Fähigkeiten im Zusammenhang mit dem handwerklichen Umgang mit Gegenständen													
2.3.1.1	Deskriptor	Fertigkeit	Psychomotorische Fertigkeit	Feinmotorik	Arm-Hand-Stabilität	Hand und Arm ruhig zu halten, während man den Arm bewegt oder Arm und Hand in einer Position hält.												https://www.onetonline.org/find/descriptor/result/1.A.2.a.1	
2.3.1.2	Deskriptor	Fertigkeit	Psychomotorische Fertigkeit	Feinmotorik	Handfertigkeit	Die Hand, die Hand mit dem Arm oder beide Hände zusammen schnell bewegen, um Gegenstände zu greifen, zu manipulieren oder zusammenzusetzen.												https://www.onetonline.org/find/descriptor/result/1.A.2.a.2	
2.3.1.3	Deskriptor	Fertigkeit	Psychomotorische Fertigkeit	Feinmotorik	Fingerfertigkeit	Präzise koordinierte Bewegungen der Finger einer oder beider Hände ausführen, um sehr kleine Gegenstände zu greifen, zu manipulieren oder zusammenzusetzen.												https://www.onetonline.org/find/descriptor/result/1.A.2.a.3	
2.3.2	Deskriptor	Fertigkeit	Psychomotorische Fertigkeit	Bewegungskontrolle		Fähigkeit, Bewegungen in Bezug auf Zeit und Raum präzise zu kontrollieren													
2.3.2.1	Deskriptor	Fertigkeit	Psychomotorische Fertigkeit	Bewegungskontrolle	Steuerungsfähigkeit	Die Bedienelemente einer Maschine oder eines Fahrzeugs schnell und wiederholt in die gewünschte Position bringen.												https://www.onetonline.org/find/descriptor/result/1.A.2.b.1	
2.3.2.2	Deskriptor	Fertigkeit	Psychomotorische Fertigkeit	Bewegungskontrolle	Gliedmaßenkoordination	Zwei oder mehr Gliedmaßen im Sitzen, Stehen oder Liegen koordinieren. Es geht nicht darum, die Tätigkeiten auszuführen, während der ganze Körper in Bewegung ist.												https://www.onetonline.org/find/descriptor/result/1.A.2.b.2	
2.3.2.3	Deskriptor	Fertigkeit	Psychomotorische Fertigkeit	Bewegungskontrolle	Response Orientation	Als Reaktion auf unterschiedliche Signale (Lichter, Töne, Bilder) schnell zwischen zwei oder mehr Bewegungen wählen. 												https://www.onetonline.org/find/descriptor/result/1.A.2.b.3	
